EXIT ZONE,NETWORK,STANDING CHARGE,UNIT RATE,MIN AQ,MAX AQ,CONTRACT LENGTH,EARLIEST START DATE,MAX START DATE
NO2,North of England,0,2.61,145001,220000,12,13/03/2018,28/02/2019
NT1,London,0,2.643,145001,220000,12,13/03/2018,28/02/2019
NT2,London,0,2.643,145001,220000,12,13/03/2018,28/02/2019
NT3,London,0,2.643,145001,220000,12,13/03/2018,28/02/2019
NW1,North West,0,2.628,145001,220000,12,13/03/2018,28/02/2019
NW2,North West,0,2.628,145001,220000,12,13/03/2018,28/02/2019
SC1,Scotland,0,2.642,145001,220000,12,13/03/2018,28/02/2019
SC2,Scotland,0,2.642,145001,220000,12,13/03/2018,28/02/2019
SC4,Scotland,0,2.642,145001,220000,12,13/03/2018,28/02/2019
SE1,South of England,0,2.617,145001,220000,12,13/03/2018,28/02/2019
SE2,South of England,0,2.617,145001,220000,12,13/03/2018,28/02/2019
SO1,South of England,0,2.643,145001,220000,12,13/03/2018,28/02/2019
SO2,South of England,0,2.643,145001,220000,12,13/03/2018,28/02/2019
SW1,South West,0,2.741,145001,220000,12,13/03/2018,28/02/2019
SW2,South West,0,2.741,145001,220000,12,13/03/2018,28/02/2019
SW3,South West,0,2.741,145001,220000,12,13/03/2018,28/02/2019
WM1,West Midlands,0,2.642,145001,220000,12,13/03/2018,28/02/2019
WM2,West Midlands,0,2.642,145001,220000,12,13/03/2018,28/02/2019
WM3,West Midlands,0,2.642,145001,220000,12,13/03/2018,28/02/2019
WA1,Wales North,0,2.682,145001,220000,12,13/03/2018,28/02/2019
WA2,Wales South,0,2.603,145001,220000,12,13/03/2018,28/02/2019
EA1,East of England,0,2.501,220001,293071,12,13/03/2018,28/02/2019
EA2,East of England,0,2.501,220001,293071,12,13/03/2018,28/02/2019
EA3,East of England,0,2.501,220001,293071,12,13/03/2018,28/02/2019
EA4,East of England,0,2.501,220001,293071,12,13/03/2018,28/02/2019
EM1,East Midlands,0,2.511,220001,293071,12,13/03/2018,28/02/2019
EM2,East Midlands,0,2.511,220001,293071,12,13/03/2018,28/02/2019
